Temperature,Relative_Humidity,Condition
25.5,69.71,0
26.7,66,0
26.4,70.04,2
26.5,70.23,2
26.4,69.17,0
26.7,68.52,0
27.6,67.74,2
26.9,65.47,0
26.7,65.28,0
27.7,69.26,2
28.4,67.01,2
26.6,66.72,0
25.6,69.88,0
27.1,64.58,0
27.3,65,0
26.6,64.27,0
26.1,61.29,2
25.8,66.25,0
25.6,69.44,2
27.3,65.76,0
27.7,64.38,0
26.8,68.78,2
27.3,70.48,2
27.8,72.12,2
27.1,73.84,2
27,71.8,2
28,65.66,0
27.2,67.56,2
24.5,71.9,0
26.1,65.74,0
27,66.78,0
26,67.93,2
26.1,62.45,2
25.8,60.78,0
26.5,67.03,0
26.5,68.86,0
26.7,71.11,2
27.3,70.07,2
26.5,69.36,0
27.1,63.87,0
26.4,67.51,2
25.9,63.1,2
23.8,72.03,0
25.6,66.4,0
25.8,71.01,2
27,70.72,2
28.2,64.95,0
27.7,69.47,2
27.9,67.43,2
27.1,69.79,2
28.7,64.53,2
28,63.91,0
27.9,63.54,2
26.9,63.28,2
26.4,63.64,2
26.3,67.75,0
27.2,67.98,0
27.6,67.16,0
27.1,73.98,2
28,65.53,2
27.5,68.17,2
26.1,68.84,2
27.7,64.94,0
27.7,68.59,0
28,70.82,2
29.2,62.23,2
25.5,63.81,5
26.5,54.4,0
26.5,54.99,0
26.9,57.89,0
28,60.34,0
27.8,65.94,0
28.4,67.62,5
28.8,65.77,2
28.7,65.23,2
29.2,60.13,0
28.5,64.16,2
28.9,61.24,2
28.6,63.16,2
29.1,62.05,2
28.6,66.09,2
27.8,69.69,0
28.7,62.18,0
23.2,84.99,0
28.9,62.55,0
27.7,68.4,0
28.1,66.29,0
28.4,64.54,0
28.9,61.18,0
29.3,60.74,0
30.2,59.13,2
29.2,67.63,2
28.1,71.41,2
29,69.67,2
29.4,67.49,2
29,66.65,2
28.5,65.69,2
29.3,64.84,2
29.3,65.88,2
29.5,66.49,2
29.6,65.09,2
28.8,68.77,5
29.3,60.13,2
29.8,55.86,2
29.6,60.66,5
29.8,59.93,2
29.4,64.31,2
29.2,64.89,2
28.1,67.65,5
29.3,61.91,2
28.6,68.17,2
29.6,62.79,0
30.7,58.82,0
30.4,57.88,0
29,60.13,0
29.7,60.41,2
30.4,61.29,2
29.2,64.89,2
29.8,62.14,2
29.6,66.44,2
27.6,79.81,2
27.1,82,5
28.2,77.05,2
28.2,77.63,5
29.9,67.68,2
29.6,67.21,2
29.7,65.02,2
30.4,62.5,2
29.9,68.01,5
30.7,63.61,2
31.2,61.4,2
30.6,63.78,2
30,67,2
30.2,64.86,5
31.1,61.32,2
30.1,66.62,2
27.9,79.34,5
28,81.06,5
28.1,80.58,5
27.6,79.07,2
29.5,71.07,2
27.9,77.99,5
28.8,74.24,2
29.1,75.19,2
27.5,78.05,5
28.6,74.28,2
27.9,78.45,5
27.6,81.25,5
27.8,76.71,5
29.5,70.6,5
30.1,67.16,2
29.8,70.21,2
28,78.57,5
29.9,70.72,5
28.2,78.74,5
28.2,77.34,2
28.9,76.09,5
28,79.01,5
29.6,73.5,5
28.7,78.2,5
27.7,80.18,5
28.3,76.49,5
28.3,79.89,5
27.8,82.13,5
28.4,76.84,2
29.6,67.85,2
28.4,72.93,2
28.4,74.46,2
26.6,81.61,5
25.5,85.38,5
27.5,76.9,5
27,79.43,5
27.8,72.5,5
29.5,62.58,2
27.4,76.59,5
28.1,69.6,5
27.7,77.99,5
30.1,65.31,2
28.5,69.93,5
28.3,74.76,2
28.5,75.28,5
29.2,68.85,5
29.7,66.47,5
29.7,69.19,5
29.1,71.14,2
29.3,68.09,2
29,71.33,5
27,82.04,5
26.1,88.17,5
26.2,89.18,5
27.1,86.91,5
26.4,87.19,5
27,84.96,2
27.8,81.82,5
27.3,86.05,5
26.4,89.12,5
27.2,82.43,5
28.4,80.28,5
27.5,85.98,5
29.4,77.11,5
29.5,75.7,5
28.8,77.4,5
28.6,82.66,5
28,82.43,5
28,81.72,5
28.2,82.05,5
28.7,79.67,2
28.4,81.28,5
27.8,81.35,5
27,87.9,5
28.2,84.92,5
27.1,88.12,5
26.9,83.82,5
27.4,84.6,5
27.6,83.93,5
29.1,78.26,5
26.3,90.96,5
26.6,80.45,5
28.3,75.95,5
27.1,84.04,2
25.8,85.89,5
26.7,80.33,5
28.5,70.27,5
30.1,65.65,2
29.2,71.98,5
28,72.88,5
28.6,70.87,2
27.9,77.66,5
26.9,87.74,5
26.7,85.1,5
26.4,86.75,5
27.1,86.63,5
26.9,84.73,5
27.3,84.22,5
26.5,88,5
27.6,83.9,5
26.9,87.55,5
27.1,87.31,5
25.7,91.97,5
27.7,82.19,5
26.9,86.65,5
29.2,75.83,5
28.1,81.32,5
27.8,83.84,5
27.2,88.03,5
27.5,84.54,5
26.6,87.25,5
25.8,88.34,5
27.2,81.77,5
27.6,83.66,5
27.8,83.86,5
25.4,93.24,5
26.9,87.18,5
28.3,82.52,5
27.6,85.15,5
25.9,89.57,5
25.9,87.89,5
27,80.64,5
28.7,77.05,2
27.2,83.99,5
26.4,87.66,5
28.5,77.37,5
28,81.86,5
28.2,83.65,5
27.3,85.18,5
29.3,74.85,5
29.6,72.86,2
29.8,72.55,2
29.4,73.59,2
28.9,78.37,2
28.8,77.44,5
27.8,84.14,5
27,87.86,5
29.2,78.96,2
29.1,79.77,5
29.1,76.62,2
29.1,76.23,2
29.4,73.85,2
29,75.18,2
28.8,73.68,5
29.9,73.56,2
30.5,69.64,2
28,80.78,2
28.9,78.24,5
29.1,74.88,5
29.4,73.02,5
30.2,70.82,2
29.8,71.25,5
29.7,73.06,0
30.6,64.97,2
30.2,70.6,5
30.2,70.79,2
28.9,75.81,5
28.8,71.08,5
29,72.05,2
29,72.69,2
28.4,79.22,5
29.8,74.4,2
29.8,73.31,2
28.2,78.52,5
29.4,75.31,2
29.4,75.42,5
29,77.71,5
29.4,75.22,1
29.2,74.93,2
29.9,71.65,2
28.5,75.88,2
29.4,76.71,2
27.6,76.87,4
29.9,70.91,2
29.4,77.98,1
29.3,76.38,2
27.9,81.53,2
28.2,78.64,2
28.6,74.34,3
28.9,76.03,5
29.3,73.52,5
29.1,73.85,2
28.8,75.99,5
29.2,77.38,5
28.8,76.79,5
29.2,74.25,2
29.7,74.73,5
28.7,76.79,2
29.3,76.87,5
29.6,75.53,2
29,75.74,2
28.6,79.26,5
28.5,80.58,5
28,79.91,2
27.9,78.73,5
26.6,85.54,5
27.1,80.07,5
27,78.29,5
26.9,67.58,3
27.1,63.97,0
26.4,71.22,0
26.9,70.58,2
27.2,71.53,2
27.7,70.79,3
28.5,73.43,0
28.2,77.41,2
29,74.04,2
28.1,75.27,2
25.6,89.85,5
26.8,82.93,5
28.6,75.88,5
29.4,69.47,2
27.6,68.07,0
27,68.89,0
27.5,69.32,2
27.4,63.66,2
26.5,71.37,0
27.4,68.05,0
27.8,66.91,2
27.1,73.19,0
26.2,78.88,5
26.3,75.27,2
27.9,70.35,5
26.7,74.58,0
27.7,71.32,2
26.4,71.64,2
25.4,74.2,0
26.7,69.4,0
26.2,71.57,0
27,76.36,2
26,84.21,5
28.6,73.3,2
28.5,78.56,5
27.8,77.07,5
27.8,75.26,2
28.1,65.17,0
27.5,65.84,0
26.9,70.5,2
27.3,76.21,2
27.1,79.53,5
27.6,75.63,2
27.8,75.28,2
27.9,73.5,2
27.2,75.74,5
27.3,75.67,2
27.5,75.18,5
28,68.93,2
27.3,69.34,0
27.5,68.19,0
27.2,67,2
27.2,71.2,0
27.7,69.87,2
27.9,73.33,0
28.1,69.54,2
27.1,65.87,2
26.5,69.63,0
27.6,68.41,0
26.8,73,2
26.9,69.36,0
25.4,72.83,2
27.7,66.34,0
26.7,72.17,2
27,71.68,2
26.9,69.79,2
26.4,69.55,2
26.8,66.92,0
26.3,68.2,2
26.9,67.62,2
27.1,67.86,0
26.9,71.15,0
27.4,68.85,0
27.2,68.46,0
26.6,72.28,0
26.4,68.6,2
26.2,68.27,2
25.3,66.84,2
25.5,66.89,2
26.3,67.31,0
26.7,66.49,2
27.1,71.77,2
26.7,77.36,2
26.6,74.64,2
26.7,70.65,2
26.7,69.44,2
26.4,68.85,2
26.3,69.98,2
26.7,70.75,0
27.3,68.71,0
27.3,66.96,0
27.8,69.2,0
27.1,72.17,2
27.5,72.69,0
26.9,72.57,0
27,75.51,0
27.8,71.35,2
27.7,71.03,2
26.9,72.85,2
28,63.53,2
28,68.01,0
26.1,76.47,0
28.6,64.31,0
28.1,64.96,0
28.2,69.24,0
28.3,68.98,2
28.7,68.45,0
28.9,65.95,5
27.1,74.38,5
27.7,69.97,0
27.6,69.12,2
28.7,66.51,0
27.8,74.87,2
28.3,69.5,2
27.8,70.44,2
28.4,64.62,0
27.9,68.52,0
28,71.1,2
27.7,66.8,2
28,68.45,2
28.3,67.18,0
28.5,66.6,0
28,70.01,2
27.9,70.56,2
27.1,70.75,2
27.4,69.01,2
26.4,73.23,5
27.5,68.83,2
26.8,69.69,2
27.3,70.08,2
28.2,66.76,2
27.8,69.77,2
28.2,67.59,2
27.8,67.03,0
28.9,65.26,2
28.7,60.91,0
28.3,67.96,2
27.6,66.27,2
26.6,68.09,2
27.4,67.63,2
26.8,68.63,2
27.9,68.78,2
29.1,70.04,2
28.8,70.47,3
28.8,70.99,2
29,71.17,0
29.1,67.06,2
28.9,69.21,2
29.2,69.88,2
29.7,68.2,2
29.9,68.54,2
29,70.08,2
30.3,71.13,2
30.3,67.1,2
29.2,68.47,5
29,72.57,2
30.4,67,2
29.1,67.8,2
30.3,67.64,2
29.7,70.68,5
28.8,77.25,5
29.6,72.67,5
28.8,75.43,5
29.5,71.74,2
28.3,76.01,2
29,72.01,2
29.7,71.56,2
30.3,69.2,2
30.6,64.59,2
29.8,67.71,5
28,71.44,2
29.5,68.46,5
30.6,68.34,5
28.8,77.59,4
28.3,77.33,4
26.6,79.94,4
24.9,90.88,5
26.6,86.44,4
25.8,88.27,4
26.6,84.11,4
26.6,87.6,4
26.9,81.23,5
28,79.57,4
27.1,83.23,4
25.3,93.96,4
25.6,90.21,4
23.8,94.59,4
25.1,88.24,4
27.9,81.83,2
27.6,83.29,4
27.8,79.92,4
28,77.61,5
28.9,79.71,2
27.8,78.93,2
28.5,78.93,5
28.6,79.25,5
28.3,80.06,5
28.5,77.42,2
28.6,79.39,5
29.4,76.15,5
29.5,76.22,2
28.4,78.69,5
29,76.03,2
29.7,74.61,2
27.1,81.24,4
26.9,87.72,4
25.6,90.7,4
27.5,81.57,2
25.1,90.14,1
27.4,81.83,4
27.6,79.52,4
27.5,81.92,4
25.8,84.93,4
25.4,86.1,1
26.2,78.8,4
27.8,76.35,5
28.3,73.72,2
27.2,79.67,5
27,84.97,4
27.4,83.47,4
27,86.02,4
27.1,84.57,4
27.5,76.18,2
27.8,75.6,5
27.9,74.94,2
26.5,75.6,1
27.4,82.76,5
27,81.94,5
27.2,78.94,5
28.1,81.13,5
26.8,84.67,2
26.5,81.89,5
26.7,81.89,5
25,88.61,4
26,85.2,4
26.7,84.31,5
27.2,80.8,4
27.7,76.11,5
28.1,72.45,2
26.8,83.56,4
26,85.09,5
27.5,79.25,2
25.7,87.03,4
27.3,87.89,5
27.8,81.57,4
26.8,81.22,2
26.9,79.15,5
25.2,86.85,5
24.8,85.79,4
26.8,77.28,5
27.8,77.55,5
29.3,76.39,2
28.6,74.44,1
27.4,76.93,5
24.4,91.62,4
27.3,83.14,4
26.9,84.42,5
27.7,79.37,5
28.1,77.35,4
27.2,82.55,4
27.7,82.29,5
28.6,77.17,2
27.5,84.32,5
28.3,79.33,2
28.3,79.96,2
27.9,82.11,2
27.1,84.74,4
26.9,81.86,2
27.7,82.51,2
28.3,81.72,4
28.8,81.05,1
27.3,90.95,2
29,76.8,1
28.9,76.86,2
28.4,78.18,2
29.2,74.96,5
27.9,84.78,2
27.3,85,5
26.9,83.23,5
25.6,89.06,5
27.5,80.38,2
27.2,83.74,2
28.9,75.83,5
28.7,75.71,2
29,76.47,2
29.2,72.94,2
29.4,73.78,5
28.5,79.36,5
28,81.83,5
28.5,80.32,5
28.2,83.83,5
28.4,83.06,5
29.5,77.71,5
29.2,76.02,5
28.8,79.18,2
27.9,79.33,2
28.3,81.24,5
27.6,83.48,5
29.3,76.81,2
28.8,79.7,2
29.7,75.55,5
28.5,82.63,5
26.9,92.99,5
28,84.06,5
29.1,79.34,5
26.1,93.8,5
28,84.73,2
28.3,83.51,5
28.5,81.96,5
27.4,85.82,5
28.4,80.09,2
26.1,89.75,5
26,91.1,5
28,80.93,5
27.3,84.43,5
27.7,81.05,5
27.8,81,5
27.6,82.83,5
27,84.34,2
29.2,74.24,2
28.8,76.66,2
28.4,78.19,5
28.1,82.19,5
30.1,68.6,2
29.8,68.48,2
30.1,68.26,2
29.9,65.29,2
29.6,70.95,2
29.8,70.76,0
29.7,72.78,2
29.8,72.8,2
30.3,72.93,2
29.9,76.41,2
28.9,80.95,5
30.4,74.42,2
29.7,77.47,5
30,73.95,2
29.8,72.05,2
29.6,75.06,5
28.9,79.24,5
28.5,83.06,5
29.1,76.09,2
29.3,73.4,2
29.4,73.61,2
28.9,76.89,5
29,75.57,2
28.9,74.22,2
28.7,70.43,2
28.7,69.75,2
28.8,69.93,0
28.9,65.11,0
27.8,67.58,0
28,67.1,0
27.1,71.35,0
27.7,71.69,2
28.2,78.07,2
29.4,73.69,2
29.5,74.22,2
29.8,71.42,2
29.4,70.27,2
28.2,74.45,2
28.9,68.91,2
28.9,71.33,2
28.3,77,5
28.5,72.96,2
28.7,74.23,2
29.1,74.94,2
29.4,74.19,2
28.6,78.49,2
28.9,74.61,2
28.2,78.84,5
28.4,80.62,5
28.6,78.28,5
28.7,76.23,5
28.7,75.14,2
28.5,74.34,0
28.6,75.72,0
29,77.34,2
29.1,74.96,2
27.4,84.92,5
27.7,85.24,5
26.6,89.67,2
28.7,78.17,5
28.6,80,2
29.2,72.35,5
26.6,82.58,5
28.6,80.38,5
25.5,94.87,5
27.2,83.74,2
28.3,78.04,2
29,77.62,2
29.2,73.29,2
29,76.8,2
28.5,78.24,2
28.4,77.63,2
28.9,74.92,5
28.6,74.56,5
27.7,63.9,2
26.8,71.42,0
27.8,69.71,2
27.3,80.88,2
28,77.31,5
27.9,75.54,2
27.9,80.25,2
27.5,85.33,2
27.9,82.62,5
28.3,79.59,5
27.3,85.15,5
28,78.46,2
29.2,75.63,2
29.1,74.1,2
29.2,73.02,5
29.1,68.87,2
28.2,71.66,2
27.8,73.33,0
28.1,72.21,0
27.5,71.38,2
27.6,70.13,2
26.8,67.53,0
25.8,71.51,2
26.5,71.61,2
26.3,74.52,2
26.8,71.54,2
27.8,66.97,2
26.6,71.03,0
27.5,68.9,2
27.1,74.63,2
28,71.36,5
27.8,77.3,2
28.2,73.24,2
28.2,68.44,0
26.6,67.78,2
27.4,60.92,0
26,68.34,0
26.8,68.95,2
27.9,70.67,2
27.9,76.96,2
27.5,79.36,2
28.7,72.84,2
28.1,71.34,2
26.5,71.58,0
25.4,70.71,0
28.8,69.9,2
28.6,74.56,2
28,72.69,5
27.8,68.35,2
28.9,62.66,0
28.9,65.24,5
27.7,75.23,2
26.6,72.01,2
27.9,67.29,2
27.6,70.56,2
28.6,64.13,2
27.2,70.37,0
27.6,67.86,0
28,68.43,0
28,69.87,0
28.3,64.97,2
28.5,64.01,2
28.6,66.78,0
27.9,66.09,2
27.7,63.09,2
27.8,60.89,2
29.4,54.09,2
30,57.98,0
28.7,69.5,2
28.3,72.34,2
27.9,71.49,2
28.7,70.1,2
28.1,68.06,2
27.3,72.93,2
28.4,64.91,2
28.5,64.34,2
28,67.34,2
28.4,67.29,0
28.9,65.73,2
29,72.2,2
29.1,70.05,2
29.7,65.18,2
29.7,68.83,2
29.2,61.92,0
29.7,65.02,0
29.9,61.16,0
29.6,65.51,0
29.1,70.11,5
29.1,69.09,2
29.6,65.19,5
29.5,67.43,2
29.3,64.28,0
28.9,65.23,0
28.5,66.96,0
29.6,62.13,2
30.2,61.51,0
28.9,71.45,0
29.9,62.97,2
29.8,61.36,0
28.9,63.8,0
29,66.82,0
30.5,65.91,2
30.2,69.95,2
30.1,65.99,2
29.4,71.45,5
29.3,72.99,5
29.4,73.01,2
27.6,80.2,2
27.2,83.28,5
26.9,83.89,4
28.6,74.23,2
28.4,77.71,2
28.5,77.6,5
29.2,75.02,5
27.7,80.79,5
29.1,75.66,2
29,76.59,2
30.2,68.4,2
29.8,70.78,2
29.7,68.72,2
29.7,70.29,2
29.7,68.07,2
30.1,69.06,2
29.6,72.04,2
28.8,73.72,2
30.2,68.85,2
31,62.61,2
30,67.53,2
31,58.09,2
30.4,61.23,0
29.8,64.27,2
29.2,71.29,5
29.3,70.59,5
29.6,68.92,2
29,70.85,2
29.8,65.75,0
29.4,67.63,2
30.6,63.2,0
30.6,65.95,2
29.3,73.48,2
27.1,82.34,5
27.6,81.24,5
27.5,81.41,5
28.9,74.13,2
28,79.09,5
28.9,74.45,5
28.3,75.61,2
29.6,71.62,2
28.4,78.7,5
29.6,71.57,2
28.8,76.73,5
26.7,86.44,5
26.4,88.66,5
27.4,83.83,5
27.8,83.01,5
26.9,87.17,5
28,84.13,5
28,81.98,2
28,79.92,2
28.4,79.5,2
29.3,74.86,2
28.7,77.8,2
27.9,82.32,2
28.1,79.22,2
26.7,84.67,5
26.2,90.61,5
27.3,84.52,5
26.2,91.12,5
27,86.7,5
27.6,82.1,2
26.5,84.49,5
27,87.56,5
27,84.18,5
25.8,90.92,5
26.7,85.05,5
29.3,71.8,2
27.5,82.9,5
27,87.63,2
26.4,89.25,5
24.9,92.08,4
26.8,82.72,5
26.6,84.68,5
27.9,79.3,2
27.3,81.21,5
28.3,79.23,2
26.7,84.57,5
26,90.49,5
26,89.15,2
27.9,81.55,2
27.7,81.72,5
27.8,82.01,2
26.8,87.62,2
27.7,84.01,5
28.3,82.95,5
28.2,80.57,2
27.5,81.5,5
28.1,80.26,2
26.1,87.39,5
27,81.43,2
25.9,86.99,5
27.8,76.79,2
27.6,79.73,5
27.6,79.43,2
28.6,77.03,2
28.9,76.93,5
27.3,80.34,5
26.9,82.76,5
26.4,83.38,5
28.4,73.73,2
26.9,81.73,5
25.1,93.61,5
26.3,86.61,5
27.9,79.56,5
26.3,85.7,5
27.9,79.54,5
28.4,79.8,5
28.9,72.13,5
27,85.2,5
26.2,88.26,5
27.5,83.25,5
28.2,76.82,5
28.9,76.71,2
26.4,90.85,5
27.3,83.79,5
28.6,77.64,2
28.8,78.52,5
28.7,75.04,5
28.9,78.97,2
28.6,79.86,2
26.5,87.69,5
27.8,81.47,2
26.8,85.11,5
27.1,86.6,5
27.2,83.49,5
27.2,86.94,5
26.5,88.38,5
27.1,87,5
27.8,83.89,5
27.4,87.25,5
27.8,81.68,5
27.9,78.03,5
26.4,87.65,5
26.7,86.86,5
27.9,80.36,5
27,86.35,5
26.7,86.64,5
27.3,81.56,2
27.1,81.47,5
27.5,81.18,5
28.3,79.26,2
28,78.59,2
28.4,75.48,5
28.3,75.98,5
28.9,72.89,2
28.5,78.95,2
26.4,87.83,5
28.2,80.12,5
28.1,80.13,5
29.4,76.43,2
27.7,84.7,5
27.3,85.75,5
26.3,87.09,5
28.7,77.54,5
26.9,88.89,5
26,92.86,5
28.2,80.2,2
29.8,74.54,2
30.3,69.24,2
30.3,72.77,5
25.6,88.72,5
28.3,79,5
27,84.44,5
27.4,85.84,2
28.1,75.45,2
29.3,68.9,2
29.3,70.79,2
28.1,75.47,2
28.4,76.04,2
28.6,75.04,5
28.8,77.6,5
29.1,77.25,2
27.8,82.37,5
29.3,76.9,2
28.6,80.5,2
28.6,79.58,5
27.2,81.66,2
28.8,78.81,2
28.2,80.29,5
28.6,79.1,2
27.3,85.48,5
28.4,79.87,2
29.3,78.02,5
29.6,75.32,2
27.8,83.47,2
27.8,83.38,2
27.2,85.3,2
28.8,78.57,2
28.2,79.35,5
29.9,70.8,2
28,79.79,2
28.9,73.42,2
28.7,78.13,2
29.1,76.21,5
28.3,79.65,2
28.6,77.37,2
28.1,79.97,2
27.6,85.91,5
28.8,77.68,2
28.1,79.33,5
27.2,86.68,5
27.4,85.75,2
28.1,82.86,5
28.5,80.64,5
28.8,77.31,2
28.5,74.36,2
28.6,67.52,2
27.7,68.8,0
28.2,73.14,2
28.9,70.01,2
29.1,68.11,0
29.1,69.52,2
29.3,72.31,2
28.9,73.94,2
28.5,78.48,2
25.7,89.42,5
27.6,80.64,5
28,79.55,2
27.9,80.43,5
28.4,78.18,5
28.1,83.27,5
28.6,77.8,5
28.4,80.77,5
28,83.24,5
28.8,78.18,5
28.8,78.8,2
28,80.67,2
28.2,77.12,2
28.7,70.65,2
28.6,69.79,2
28.1,78.32,5
28.8,71.09,0
27.7,70.4,0
26.2,78.07,0
27.3,65.75,2
27.6,69.71,0
28,69.85,2
27.9,73.2,2
28.6,70.02,0
26.4,76.25,0
26.7,72.54,0
27.6,70.35,0
27.6,70.6,0
27.3,73.62,0
28,74.51,2
28.1,75.99,2
28.3,72.98,2
27,68.65,2
26.1,71.29,0
26.8,67.6,0
27,71.53,0
27.5,71.04,0
27.3,67.56,0
26,75.23,0
26.3,75.62,0
27.4,71.9,0
28,69.08,0
27.9,70.35,0
27.6,72.23,0
27,73.95,0
27,74.67,2
26.7,74.44,0
27.4,73.58,2
27.9,68.54,0
27.2,70.27,0
27.4,67.21,0
27.3,62.33,0
26.4,70.39,2
25.7,69.83,0
25.6,68.63,0
26,70.45,2
26.8,71.02,2
27.4,72.61,2
27.6,73.26,2
27.4,76.78,2
26,77.44,2
27.3,67.77,0
27.6,66.99,0
27.1,71.96,0
26.4,73.57,0
28.1,64.39,0
28.2,68.91,0
27.8,72.73,0
27.5,74.53,0
27,69.6,2
26.6,64.35,0
27.4,65.2,0
26.8,67.27,0
26.9,66.9,0
25.7,69.85,0
26.4,66.67,0
26.9,60.02,0
26.1,67.33,0
26.1,64.72,0
26.2,66.13,2
26.2,66.9,0
26.6,66.37,2
27.4,66.54,0
27.5,65.28,2
27.5,68.1,2
25.9,74.79,0
27.6,69.12,0
28.3,71.76,0
28.8,69.01,2
28.7,68.65,2
28.5,68.49,2
27.1,70.87,0
27,71.04,0
28.1,67.45,0
27.4,71.75,0
27.6,65.47,0
26.9,65.24,2
26,67.95,0
27.5,60.97,0
26.4,71.89,0
27.6,68.82,0
28.1,67.09,0
27.4,64.27,0
25.9,61.4,0
27.3,50.12,0
26,57.9,0
26.9,61.3,0
26.3,70.38,0
27.2,71.61,0
26.9,71.18,0
27.6,72.1,0
28.6,67.54,0
28.7,66.43,0
28.5,65.2,0
27.8,68.77,0
28,67.82,2
26.8,73.27,0
26.7,71.88,0
27.8,63.19,0
28.5,58.6,0
28.2,65.04,2
28.9,60.11,0
27.3,65.6,0
28,57.1,0
28.1,55.85,0
27.1,64.46,0
28.2,65.54,0
27.6,66.41,0
28,63.52,0
29.2,57.6,0
28.3,63.71,0
27.3,68.75,0
29.3,57.22,0
27.9,65.7,0
28.8,63.31,2
29.7,60.25,0
29.4,60.9,0
28.8,63.97,0
28.7,62.95,2
28.4,61.36,0
29.9,54.91,0
29.3,60.16,2
29.6,55.94,0
28.2,64.03,0
27.8,64.96,0
27.3,68.81,0
28.7,65.44,0
29.8,60.87,0
29.9,64.27,0
28.6,69.38,0
29.1,68.57,2
28.4,68.59,2
29.4,63.36,0
28.8,64.84,0
29.3,63.01,0
29.9,64.06,2
29.6,63.89,2
28.6,69.65,0
29.2,69.01,2
29.1,63.98,0
29.5,63.18,0
30.6,56.3,2
30.2,58.41,0
29.1,66.77,2
29,69.27,2
30.2,63.05,2
30.7,59,0
30.4,62.4,0
30.5,60.81,0
29.6,63.13,0
28.8,68.62,2
30.4,62.74,0
30.8,65.48,2
31.6,53.15,2
30.7,55.18,0
29.5,62.55,0
30.1,59.44,0
31,55.92,0
30.1,62.81,0
30.5,58.85,0
30.8,63.02,2
31.1,61.63,0
30.7,63.23,0
31.2,58.67,0
30.7,62.51,2
30.8,62.28,2
30.9,63.98,2
30.8,59.37,2
31,61.35,2
29.5,67.71,2
30.3,64.71,5
30.5,59.06,2
31.2,55.8,2
30.6,62.34,2
32.2,52.64,2
28.8,73.38,5
30,66.76,2
29.6,68.56,5
30.2,65.38,5
29.7,70.62,2
29.8,67.1,5
31.1,60.35,2
30.6,63.82,2
30,65.36,2
29.9,65.38,2
29.6,67.42,2
29.4,68.53,2
30.2,69.27,2
30.2,70.44,5
29.1,73.25,5
28.2,78.09,5
29.5,72.66,2
29.5,72.13,2
28.4,76.99,5
29.4,72.19,2
30.5,66.54,2
30.2,69,2
29.7,74.34,5
28.1,80.54,5
29.7,73.54,2
28.9,77.26,5
27,84.5,5
28.1,70.52,5
28.7,65.71,2
28.5,69.08,5
29.2,69.98,2
29.9,60.15,2
30,52.38,2
29.4,60.72,2
29.7,60.4,5
29.7,55.66,2
